id,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D3_1,D3_2,D3_3,D3_4,D4_1,D4_2,D4_3,D4_4,D5_1,D5_2,D5_3,D5_4,CLASS
613,65,28,14,25,49,28,276,22,72,21,263,2,77,4,54,10,15,5,9,9,D3
614,94,25,103,19,93,24,254,21,92,28,127,14,29,3,271,20,10,17,153,12,D2
615,94,23,158,-5,2,0,40,24,2,20,45,13,32,3,75,10,17,11,82,4,D1
616,13,17,171,29,14,8,166,28,95,28,158,16,83,20,92,7,33,8,25,14,D4
617,13,23,254,12,63,22,185,1,91,13,185,28,14,14,99,5,62,9,278,19,D2
618,94,0,5,6,87,0,161,26,95,28,46,19,40,25,119,4,49,1,293,3,D1
619,89,11,142,23,20,19,117,26,47,9,112,10,28,19,161,29,49,19,170,7,D1
620,68,12,233,25,30,9,114,6,70,11,255,28,47,10,118,16,30,5,115,10,D1
621,52,21,93,22,71,4,61,14,72,16,42,3,47,18,4,9,34,9,205,0,D3
622,10,19,139,14,31,5,150,11,39,6,33,19,90,17,108,17,52,15,45,15,D4
623,28,19,159,13,90,11,34,7,74,3,114,15,87,14,228,4,14,7,84,16,D4
624,81,15,86,9,79,24,141,2,85,16,209,13,19,9,188,24,50,3,81,18,D3
625,55,11,281,21,51,15,130,14,17,28,207,8,79,28,186,26,58,14,295,26,D1
626,84,29,2,20,24,2,129,3,36,27,143,7,13,21,4,23,76,8,223,29,D5
627,52,15,194,11,76,19,139,11,38,3,155,19,51,1,137,27,76,26,259,27,D2
628,58,3,93,24,67,5,166,5,70,9,149,6,57,0,178,0,3,27,94,22,D4
629,51,16,156,23,8,6,190,7,94,20,93,0,49,19,187,1,22,10,12,15,D3
630,90,8,295,14,87,29,238,14,91,21,121,18,11,26,6,12,52,27,268,14,D1
631,57,22,101,-5,31,6,185,24,41,6,284,9,94,24,186,14,85,22,163,-5,D5
632,7,8,178,1,65,2,186,9,49,21,85,10,99,2,223,13,70,7,116,25,D4
633,66,13,289,29,42,17,250,1,91,1,88,10,81,20,181,11,80,8,38,17,D3
634,12,22,230,13,15,10,231,22,25,24,245,0,86,22,4,11,10,28,63,25,D4
635,56,0,284,19,57,13,264,10,68,14,3,23,16,6,95,7,40,3,255,27,D1
636,76,0,4,22,9,12,218,26,58,14,230,9,28,11,231,23,45,20,89,13,D3
637,12,9,129,11,7,19,183,2,18,24,186,13,47,9,9,29,87,14,79,28,D5
638,98,12,281,2,43,22,110,29,49,21,46,1,31,24,30,6,62,27,40,21,D1
639,71,25,88,22,0,27,147,17,100,7,86,11,19,1,223,17,91,12,269,3,D5
640,81,23,249,12,14,19,46,9,27,17,83,6,7,24,176,2,4,23,280,3,D1
641,93,14,81,1,53,26,214,17,25,3,240,20,51,1,290,12,48,7,120,7,D1
642,41,16,189,1,33,10,228,23,78,2,96,24,16,21,123,17,2,28,8,3,D3
643,46,14,131,26,88,18,139,11,40,3,193,9,74,11,253,17,52,28,231,24,D2
644,72,22,250,4,5,27,122,9,43,13,15,12,18,11,282,28,91,3,145,14,D5
645,42,19,165,0,16,18,62,14,86,7,52,-5,39,24,211,23,99,16,214,-5,D5
646,34,8,24,13,71,18,82,24,72,1,0,9,98,3,190,22,45,12,212,29,D4
647,49,19,6,11,85,11,5,28,2,5,284,13,70,7,79,1,30,4,98,28,D4
648,46,21,37,14,78,26,217,5,34,25,43,9,20,18,47,17,70,4,172,4,D5
649,22,0,137,19,86,1,265,28,35,9,202,4,28,22,45,8,15,3,232,1,D2
650,97,24,287,10,39,24,271,4,28,3,199,-5,35,4,146,2,26,17,163,4,D1
651,83,3,272,1,46,27,27,10,91,20,261,9,71,24,184,16,74,1,23,12,D1
652,100,9,133,26,12,9,58,22,59,17,130,28,62,8,109,13,65,8,79,7,D1
653,89,18,282,14,92,3,291,6,78,13,62,22,32,2,49,17,100,28,5,24,D2
654,21,26,154,9,0,20,142,17,85,20,127,25,89,2,44,24,85,14,0,14,D4
655,61,16,175,22,88,12,72,6,85,6,182,18,78,5,58,12,43,4,279,19,D2
656,45,22,196,24,50,10,246,28,50,5,64,-5,6,25,93,22,38,7,139,27,D3
657,40,25,114,26,22,3,243,14,64,9,153,14,78,10,66,12,15,28,167,29,D4
658,75,23,270,3,79,16,284,20,24,6,279,23,14,0,258,8,17,25,103,9,D1
659,82,19,149,11,24,1,279,29,74,17,153,-5,7,27,241,3,66,0,12,7,D3
660,86,21,23,8,15,0,293,10,80,2,259,24,76,25,224,14,51,5,133,17,D3
661,1,19,21,14,88,28,9,21,53,25,155,8,86,4,245,12,70,11,94,8,D4
662,82,9,28,22,41,29,260,2,55,26,49,2,58,20,17,28,23,12,24,2,D1
663,37,6,107,5,93,29,214,20,94,20,264,3,47,27,168,12,56,25,55,18,D3
664,42,8,93,18,74,14,20,18,15,7,249,18,45,0,218,3,96,20,110,24,D4
665,95,15,244,10,16,16,206,-5,74,26,29,18,43,0,228,15,29,21,285,21,D1
666,63,27,254,14,48,20,125,28,60,24,50,7,16,7,188,20,65,22,116,19,D1
667,95,26,16,7,78,26,173,1,79,22,104,20,64,17,127,7,49,17,265,23,D2
668,25,5,44,24,38,24,21,27,86,1,48,15,54,5,175,15,26,8,293,8,D3
669,18,28,32,9,7,2,226,1,96,29,256,27,1,1,16,9,11,15,268,6,D2
670,7,11,237,4,55,22,72,18,93,2,170,7,51,4,177,13,29,16,299,25,D3
671,51,21,61,24,76,13,251,15,8,0,111,4,9,9,232,26,85,15,202,14,D5
672,62,4,244,18,35,28,188,6,24,20,256,7,97,8,160,9,53,1,293,22,D4
673,52,6,130,16,13,0,15,21,59,7,228,1,96,1,107,15,53,17,225,0,D4
674,71,15,161,6,80,19,221,4,10,20,174,16,15,21,105,23,82,15,82,-5,D5
675,42,29,21,11,58,29,37,1,0,8,267,8,66,19,239,16,70,24,172,11,D4
676,58,3,12,6,64,24,104,0,81,10,137,14,13,11,90,29,76,9,101,3,D5
677,85,16,59,8,50,0,83,19,1,4,53,14,88,15,15,12,59,10,114,9,D1
678,21,24,70,4,1,26,141,24,51,24,104,1,58,18,112,3,38,22,50,12,D4
679,55,6,272,-5,97,12,91,-5,68,27,257,5,9,2,92,3,74,25,110,3,D2
680,82,2,26,10,84,2,110,19,55,8,59,20,98,26,202,10,71,3,0,19,D1
681,69,26,300,24,53,1,190,3,48,19,41,21,25,16,238,4,87,0,8,23,D2
682,81,27,19,13,97,19,35,26,93,10,282,15,55,5,177,25,86,6,133,16,D3
683,41,6,138,19,2,25,270,20,15,1,287,20,58,4,168,10,22,24,188,11,D4
684,79,10,108,20,98,26,131,0,98,12,290,27,9,7,76,26,19,8,116,11,D2
685,2,3,92,4,67,21,9,22,20,11,67,8,47,14,260,1,50,12,261,3,D5
686,21,14,73,8,29,7,278,23,54,11,207,14,72,1,69,3,47,4,243,27,D4
687,54,13,128,21,44,18,278,21,48,0,89,25,69,22,177,0,67,18,10,24,D4
688,34,16,237,22,82,15,18,3,67,14,192,13,85,6,142,17,8,21,97,5,D4
689,27,26,275,7,93,28,60,5,23,9,85,6,0,11,217,7,21,27,168,18,D2
690,59,6,273,7,29,1,251,3,46,25,103,21,21,9,230,8,21,4,265,10,D1
691,64,11,91,14,39,21,155,2,17,4,156,3,10,29,153,25,7,26,180,0,D1
692,25,28,80,29,24,12,243,23,15,18,230,17,27,6,43,10,93,12,12,3,D5
693,90,29,211,20,2,17,291,29,96,2,49,20,3,25,131,18,38,11,18,26,D3
694,41,21,50,20,80,0,47,0,69,12,88,12,55,10,212,13,66,22,118,17,D2
695,90,28,175,21,90,26,52,6,63,21,41,17,53,21,27,7,15,1,211,26,D2
696,66,29,208,22,13,10,168,2,78,16,202,4,12,16,107,22,59,28,29,8,D3
697,66,19,214,6,60,21,269,6,33,16,232,18,38,27,193,3,78,1,286,-5,D5
698,21,12,181,16,20,14,35,6,24,9,283,6,24,29,119,-5,66,0,110,20,D5
699,53,29,182,27,63,26,153,28,77,26,156,16,39,24,105,22,41,7,26,5,D5
700,84,24,238,9,9,26,233,27,48,11,199,5,65,7,250,13,100,8,257,22,D5
701,87,18,231,1,100,0,179,10,13,5,261,14,25,14,245,28,47,3,134,-5,D2
702,30,9,274,0,96,21,146,13,1,18,149,-5,92,27,151,-5,31,9,286,7,D4
703,99,15,98,22,1,7,79,21,19,24,291,6,75,2,69,12,17,22,106,3,D4
704,97,23,222,26,88,22,188,22,88,29,111,27,75,21,268,21,86,7,101,8,D5
705,60,29,206,3,99,28,133,23,78,23,297,4,33,11,16,11,53,10,8,17,D3
706,81,16,151,14,22,11,155,23,33,6,48,6,26,16,176,9,32,25,240,17,D1
707,18,6,94,8,20,11,284,28,13,2,38,4,17,16,132,16,86,26,216,12,D5
708,20,27,183,8,51,15,171,24,51,13,235,-5,30,25,82,26,14,25,57,25,D3
709,13,13,69,3,6,19,234,24,52,14,82,13,32,22,149,8,55,16,0,20,D3
710,16,11,168,3,4,2,117,1,19,9,279,27,21,23,40,1,2,5,52,18,D2
711,68,3,100,26,96,0,47,4,42,1,149,20,48,20,12,24,8,22,217,8,D2
712,51,16,117,4,64,16,22,26,26,20,2,0,42,10,218,12,83,29,116,13,D1
713,77,4,35,16,41,22,177,24,42,8,111,5,32,17,28,14,19,22,105,28,D1
714,58,21,169,15,20,9,195,0,11,16,25,17,73,20,230,-5,76,3,159,2,D5
715,29,3,98,8,86,26,95,21,82,12,48,18,20,0,151,14,74,11,244,13,D5
716,63,26,12,22,30,0,113,11,68,8,191,9,31,19,2,1,63,4,171,16,D3
717,17,0,199,29,8,13,33,12,9,1,179,11,73,10,88,13,0,0,286,19,D4
718,77,0,53,4,42,17,240,15,13,24,256,24,19,4,46,11,14,7,81,27,D1
719,35,28,254,20,90,9,147,5,71,16,216,3,96,21,231,9,52,18,270,20,D2
720,20,14,13,-5,65,18,264,18,46,2,155,28,39,26,147,20,37,12,257,2,D5
721,80,6,290,18,26,11,217,24,60,8,280,21,48,28,256,27,81,10,78,26,D1
722,74,22,261,9,66,23,25,16,32,10,272,13,19,20,141,0,61,22,96,18,D1
723,8,12,292,28,47,17,140,-5,31,25,163,16,43,23,17,28,87,17,188,-5,D5
724,25,16,51,0,57,16,232,14,8,7,78,16,36,17,23,22,20,10,153,28,D2
725,1,20,174,23,21,13,121,20,22,16,167,10,23,9,168,9,12,29,39,0,D4
726,84,24,223,12,52,29,123,15,42,18,128,28,94,9,17,10,0,6,167,29,D4
727,16,6,277,22,79,21,125,28,7,7,224,12,33,29,278,5,29,4,177,19,D4
728,0,17,146,18,25,10,107,-5,37,22,145,21,69,5,208,15,17,20,235,29,D4
729,81,1,29,19,15,12,25,13,13,3,297,7,87,11,189,16,8,1,59,19,D4
730,56,20,25,-5,74,17,179,24,53,20,38,27,26,17,136,19,50,27,188,2,D1
731,5,3,188,0,86,15,290,15,37,8,229,23,44,27,210,7,11,14,225,27,D2
732,58,23,24,6,85,24,208,28,19,0,41,18,14,9,203,21,79,16,106,23,D5
733,84,10,243,8,30,4,100,10,98,1,125,2,23,23,67,2,12,28,243,1,D3
734,75,7,3,16,48,7,188,16,21,24,262,0,48,2,65,27,27,0,128,0,D5
735,18,9,281,5,34,22,259,7,73,12,286,15,52,14,266,14,67,5,280,13,D5
736,19,29,298,4,87,29,172,8,85,10,78,19,97,23,78,6,16,24,84,19,D4
737,88,29,128,10,51,28,180,10,12,1,249,4,88,15,35,28,52,23,0,21,D1
738,29,1,12,19,70,21,203,16,88,14,7,6,78,16,240,12,23,17,297,26,D3
739,90,8,30,1,93,28,148,25,2,17,290,11,97,3,184,19,51,8,261,1,D1
740,58,19,284,13,20,3,143,13,38,27,30,15,73,15,286,11,57,7,206,29,D4
741,77,0,120,28,32,5,87,8,93,21,214,1,70,13,257,24,69,27,244,23,D3
742,97,20,65,0,35,10,204,25,11,5,204,22,32,16,32,19,59,0,107,14,D1
743,65,28,261,9,99,26,296,-5,47,11,189,25,61,26,70,16,60,10,64,23,D2
744,7,29,55,8,93,2,165,26,88,26,105,1,97,24,103,15,52,26,152,16,D3
745,82,3,279,-5,94,10,211,-5,5,13,74,10,61,18,165,18,84,24,248,20,D1
746,76,19,205,25,74,3,124,-5,15,2,150,2,66,11,88,29,70,18,281,4,D2
747,3,23,184,15,34,2,73,0,18,22,93,13,58,0,22,22,66,18,124,28,D2
748,52,27,266,0,37,8,263,-5,29,21,264,18,88,27,99,5,1,20,93,24,D2
749,68,28,242,1,39,4,57,6,57,12,192,29,19,1,138,16,2,18,250,11,D1
750,62,9,127,5,43,17,20,17,30,29,228,29,15,4,41,-5,85,8,221,1,D5
751,37,4,148,25,67,3,8,24,29,22,36,7,45,1,268,10,54,18,121,22,D4
752,53,6,268,25,21,6,217,24,17,2,262,24,77,1,291,23,8,0,94,19,D4
753,42,5,196,6,70,24,286,21,43,24,296,2,94,22,129,18,35,8,232,-5,D5
754,42,29,176,22,68,15,214,11,50,14,235,13,2,17,63,20,8,28,251,11,D2
755,46,5,3,28,63,7,216,17,81,28,29,19,93,15,240,13,55,25,21,0,D4
756,68,15,117,8,97,27,86,13,87,27,146,6,74,6,236,26,80,11,18,0,D5
757,74,8,268,8,63,0,290,7,41,7,290,24,88,13,246,13,9,21,69,26,D2
758,19,28,211,28,11,6,139,21,60,3,228,11,81,11,295,9,89,3,151,7,D5
759,6,6,281,3,79,29,86,5,28,9,151,26,69,21,241,15,37,13,241,16,D2
760,60,29,142,19,26,23,259,24,37,0,103,24,63,17,280,3,48,19,213,9,D4
761,15,10,270,15,53,26,20,9,26,11,188,-5,8,29,151,18,11,0,33,7,D3
762,81,19,132,16,2,8,216,2,46,11,6,24,75,11,285,1,81,9,6,11,D4
763,3,5,186,28,96,21,46,24,20,5,8,10,84,7,207,4,14,2,176,-5,D4
764,68,5,165,1,89,15,240,1,26,16,24,27,98,3,255,21,79,0,266,9,D2
765,97,22,203,1,95,6,50,6,64,20,178,4,29,16,122,9,78,27,79,19,D1
766,69,5,260,11,83,12,75,8,10,28,240,27,3,0,134,28,25,18,52,28,D1
767,0,16,215,13,38,27,290,14,83,19,139,3,96,19,61,12,0,11,67,4,D3
768,62,10,132,22,11,12,2,16,52,7,85,5,60,23,276,25,36,15,190,21,D3
769,32,26,214,27,11,0,138,9,96,2,273,27,93,18,236,21,32,3,172,1,D3
770,77,14,57,14,76,19,133,20,69,5,238,21,11,4,228,18,41,9,268,7,D3
771,20,16,272,6,94,3,230,29,81,21,130,27,29,7,9,1,21,0,13,16,D2
772,35,14,123,-5,83,14,182,29,16,17,299,25,71,27,115,5,31,13,102,8,D1
773,83,3,68,6,93,12,73,0,26,6,49,23,2,15,253,5,88,17,38,21,D2
774,39,19,39,4,6,2,214,19,49,7,291,28,32,6,151,5,93,4,300,22,D5
775,63,8,289,4,0,2,242,21,25,25,24,28,47,13,111,13,31,15,176,7,D1
776,21,11,111,14,64,24,238,18,77,14,217,21,17,13,181,26,24,1,166,28,D3
777,31,0,72,28,83,9,169,21,38,23,125,28,60,7,60,18,75,7,96,24,D2
778,36,14,229,26,33,7,116,12,6,0,181,12,46,14,213,16,24,5,267,0,D5
779,44,3,92,2,1,19,70,4,54,23,281,18,30,21,83,3,33,17,197,24,D1
780,17,7,81,29,89,4,30,12,6,8,74,13,75,12,198,28,36,6,297,15,D2
781,42,26,138,18,38,4,188,11,27,27,169,27,91,4,46,19,38,13,73,0,D4
782,58,2,58,10,51,29,159,0,3,11,57,11,88,18,271,14,21,13,15,26,D4
783,0,19,294,20,9,27,159,20,75,10,69,10,88,27,179,6,80,15,42,19,D4
784,33,5,238,13,26,15,229,20,22,18,56,16,54,11,155,2,14,19,287,18,D4
785,99,3,196,19,72,28,152,15,43,29,267,14,66,12,62,1,12,18,164,4,D1
786,34,20,221,26,25,17,107,13,51,29,111,3,9,29,93,12,74,24,294,16,D5
787,82,7,266,7,73,28,221,-5,35,27,34,23,53,22,77,27,28,28,147,21,D1
788,96,18,193,3,60,6,18,20,81,11,217,20,44,13,50,10,57,8,240,28,D1
789,96,11,206,26,41,0,11,29,41,10,159,29,56,5,207,2,61,9,76,12,D4
790,51,16,34,2,96,19,221,10,95,27,100,22,26,10,177,24,51,25,269,10,D2
791,77,18,154,5,50,10,117,20,38,8,161,10,47,16,189,13,65,18,50,18,D1
792,91,5,28,14,37,15,97,14,80,5,203,18,36,18,86,15,59,27,197,9,D1
793,31,15,174,24,22,13,59,14,67,21,260,1,11,6,201,21,100,3,155,14,D5
794,38,5,244,25,28,17,71,12,92,6,148,4,64,5,74,7,74,10,94,12,D3
795,4,22,137,5,52,1,143,15,19,6,156,13,98,17,51,20,29,0,134,-5,D5
796,0,5,243,21,64,19,236,12,62,0,134,3,25,15,65,6,42,15,137,29,D3
797,49,21,136,1,96,19,291,17,10,4,139,28,90,8,240,21,40,16,296,9,D2
798,11,13,160,2,42,23,130,19,95,18,139,6,50,2,277,29,28,11,281,24,D3
799,52,6,112,17,82,26,0,18,77,6,86,25,27,14,243,8,93,11,90,27,D5
800,38,15,221,6,66,25,13,23,57,12,19,23,76,7,257,27,99,7,133,6,D5
801,49,15,49,3,45,28,42,15,94,14,93,20,76,4,276,15,80,23,214,3,D4
802,60,23,229,11,31,0,231,12,75,5,249,-5,76,6,20,12,17,26,35,0,D3
803,77,27,282,8,76,3,111,2,32,7,201,29,92,3,242,20,68,17,107,15,D2
804,76,6,175,16,1,9,165,19,59,1,13,19,67,12,245,10,99,28,55,9,D4
805,98,9,115,7,4,11,101,19,45,22,121,6,49,3,120,12,7,4,162,15,D1
806,45,18,89,10,43,10,140,28,55,5,74,16,60,4,125,2,59,11,242,5,D4
807,47,11,285,22,78,16,172,2,55,17,234,6,68,12,93,1,82,18,47,10,D2
808,74,25,269,28,50,5,75,20,64,13,277,-5,38,26,158,16,86,3,5,17,D3
809,21,5,98,29,94,6,282,16,88,24,76,12,57,7,268,10,88,7,49,5,D2
810,98,21,144,4,10,22,136,18,79,22,128,25,94,28,286,14,27,21,145,28,D1
811,76,0,105,1,51,21,241,26,18,12,92,7,8,10,74,20,84,29,21,-5,D1
812,36,15,142,2,51,14,136,18,55,13,278,27,13,3,107,2,87,19,23,14,D5
813,100,16,129,7,98,18,258,7,94,19,97,12,86,8,60,27,19,20,190,28,D2
814,31,1,161,14,89,10,53,26,48,4,18,-5,45,5,48,25,65,15,48,24,D3
815,45,3,47,2,9,29,56,9,78,27,277,29,95,4,243,19,12,3,279,4,D4
816,20,4,147,18,16,14,167,19,13,6,261,8,27,15,0,2,20,2,33,17,D3
817,75,23,239,3,25,29,235,15,25,11,206,23,29,24,206,20,48,2,16,25,D1
818,33,27,253,0,80,24,291,15,35,16,231,6,56,10,286,16,77,5,82,3,D5
819,50,22,108,18,69,26,111,28,83,27,241,10,20,17,56,8,82,4,120,2,D5
820,55,28,281,9,68,28,104,0,57,23,45,21,86,22,93,24,6,13,146,16,D2
821,95,13,78,0,57,9,89,15,54,17,275,16,59,12,233,21,85,24,43,-5,D1
822,2,21,190,29,83,15,266,9,4,23,84,-5,66,21,110,3,88,22,225,0,D5
823,97,26,146,29,74,29,298,14,3,27,90,5,53,19,155,15,54,27,69,16,D2
824,87,4,120,22,28,16,174,18,20,11,132,2,42,5,207,22,76,3,0,-5,D5
825,90,11,255,7,64,19,114,19,54,5,206,3,72,16,295,-5,40,2,233,9,D4
826,25,10,146,4,10,24,128,13,23,23,284,4,59,9,39,22,13,13,88,-5,D1
827,23,3,136,12,75,14,232,9,42,6,196,15,53,12,224,16,12,9,225,16,D2
828,22,11,266,12,71,22,251,0,55,16,109,2,64,10,224,24,26,8,18,6,D2
829,27,9,78,11,49,24,45,10,72,28,131,28,34,20,170,15,16,8,39,20,D1
830,77,21,69,1,15,17,249,15,0,21,54,29,93,19,139,4,74,2,30,12,D4
831,22,23,281,27,44,7,218,7,77,27,66,12,99,7,154,11,55,7,20,17,D4
832,15,26,249,8,53,6,90,7,70,7,108,18,77,15,205,23,82,5,199,21,D5
833,46,8,257,25,83,11,154,24,80,26,168,9,37,17,140,25,6,14,106,16,D3
834,73,13,195,10,12,0,139,22,100,24,122,28,19,28,140,16,66,10,96,28,D1
835,52,16,297,24,83,9,254,20,98,21,131,7,8,28,249,5,26,19,269,26,D3
836,32,20,138,9,45,12,162,20,75,9,158,6,12,15,247,12,81,9,230,9,D5
837,21,6,37,0,52,27,140,2,68,9,116,29,65,1,293,19,63,6,162,6,D5
838,88,22,175,25,88,28,109,13,90,5,153,26,75,8,287,10,3,21,238,11,D4
839,1,21,77,28,60,7,170,21,13,28,236,4,43,28,32,18,59,29,107,11,D2
840,29,9,254,27,20,7,194,5,86,24,166,-5,95,21,122,11,53,4,75,17,D3
841,96,16,294,27,18,15,211,8,53,1,112,10,64,12,246,22,89,21,110,1,D5
842,64,5,274,24,76,2,97,25,35,5,277,17,59,21,68,20,51,0,61,9,D5
843,19,18,138,14,53,23,204,25,94,0,7,10,38,12,63,26,98,18,236,8,D5
844,78,17,219,3,64,10,261,28,9,23,48,5,31,4,2,18,36,16,85,2,D1
845,22,23,259,4,16,15,219,18,4,29,146,19,0,13,53,9,88,3,186,10,D5
846,1,1,37,27,58,8,146,2,44,11,79,-5,10,7,132,18,89,27,21,11,D2
847,13,12,40,0,74,2,185,26,57,7,145,11,77,28,10,26,60,21,162,10,D3
848,11,5,73,0,10,16,52,22,99,23,118,3,94,28,184,6,76,25,15,28,D3
849,43,4,8,2,25,26,6,26,21,17,11,3,67,2,93,15,13,8,235,10,D4
850,86,21,99,22,18,19,292,-5,96,2,243,29,79,23,295,1,64,16,66,16,D4
851,29,1,278,4,52,11,108,26,72,24,130,6,26,23,165,13,15,18,125,18,D1
852,23,8,69,26,39,24,53,18,90,16,27,7,73,23,190,1,57,14,115,14,D4
853,18,23,16,29,51,9,239,3,36,0,206,12,11,29,240,27,29,24,111,3,D2
854,77,10,277,16,59,25,113,16,28,9,48,23,33,13,185,23,42,25,256,3,D1
855,2,9,213,12,85,8,133,6,42,17,286,18,49,9,19,17,12,11,120,13,D2
856,48,25,7,3,64,2,123,17,42,16,114,23,3,6,178,0,47,25,292,5,D2
857,93,1,175,10,15,5,125,21,14,15,191,17,79,25,113,13,90,12,248,6,D1
858,25,29,45,6,98,11,20,17,70,1,76,25,54,16,281,6,4,22,171,18,D2
859,30,17,203,13,60,7,201,10,47,26,103,17,76,14,174,17,48,11,18,21,D2
860,97,22,237,8,9,29,207,8,17,19,297,20,56,2,23,23,10,24,276,15,D1
861,71,25,139,4,3,5,292,-5,47,26,265,18,55,6,282,11,99,18,111,19,D4
862,15,9,76,14,14,12,219,4,53,12,112,17,44,20,32,14,35,9,108,26,D3
863,39,12,274,10,44,19,88,15,12,8,16,11,96,18,151,20,60,23,210,20,D4
864,6,29,290,4,43,20,136,3,66,22,223,20,89,29,91,19,36,13,254,23,D2
865,57,6,172,12,81,10,209,2,76,16,183,11,77,9,216,19,7,19,135,21,D2
866,13,23,99,0,9,28,60,12,21,19,188,26,11,7,171,22,25,0,156,15,D5
867,42,28,29,5,54,0,169,10,8,8,293,7,53,17,184,9,8,15,120,25,D2
868,7,7,137,23,81,17,94,21,44,15,140,0,47,1,102,0,71,29,156,2,D4
869,75,16,59,4,15,17,271,26,66,2,185,8,51,0,167,20,16,18,117,21,D3
870,25,10,265,0,57,9,252,23,13,14,135,24,72,15,146,29,43,15,72,2,D1
871,57,5,73,15,82,7,296,2,67,26,219,25,68,0,293,15,17,6,157,18,D2
872,78,22,247,20,76,29,14,17,49,27,294,5,0,2,174,20,8,19,17,11,D1
873,55,3,279,2,96,19,181,26,88,16,113,23,14,5,252,22,40,18,28,16,D1
874,81,29,135,24,54,11,37,12,14,4,118,3,5,11,207,10,56,24,11,21,D2
875,24,15,8,15,10,12,178,25,47,7,173,2,92,5,172,29,82,16,147,10,D5
876,72,4,6,13,74,12,96,12,12,5,106,11,0,6,257,0,18,22,218,25,D2
877,69,23,111,17,29,8,167,11,33,5,252,23,49,27,68,23,54,4,43,24,D2
878,25,25,131,8,77,28,25,25,100,21,135,1,100,5,94,1,92,10,137,16,D4
879,28,5,266,15,79,3,275,18,51,4,224,27,36,2,6,6,27,5,122,22,D2
880,99,28,147,22,19,9,28,5,56,23,113,22,30,5,270,0,88,26,1,4,D4
881,54,23,251,4,53,21,213,21,60,27,68,-5,59,26,49,13,99,26,50,19,D1
882,41,2,275,14,33,25,78,12,23,1,156,20,86,24,110,12,88,16,160,17,D5
883,94,11,224,0,19,27,71,14,85,10,33,11,41,19,258,7,96,13,52,16,D1
884,54,4,37,5,1,13,18,20,69,18,36,23,31,13,209,24,68,7,204,29,D1
885,62,8,135,15,44,10,54,5,36,20,37,0,24,21,174,29,98,7,226,8,D5
886,28,17,113,-5,24,2,253,4,32,6,77,29,44,2,154,21,16,14,251,5,D2
887,15,24,66,10,7,1,222,9,53,0,35,12,2,12,227,23,80,2,108,6,D5
888,100,2,299,1,83,6,98,3,14,7,176,24,40,2,170,24,9,21,202,24,D1
889,70,1,117,7,23,21,235,29,89,19,294,17,81,12,164,6,58,2,237,9,D4
890,67,16,230,14,30,23,186,23,34,19,133,8,75,17,187,12,32,25,300,9,D4
891,60,18,215,27,21,19,9,16,7,11,148,16,88,12,251,6,97,19,267,26,D4
892,13,9,290,9,80,10,1,10,49,9,131,6,43,20,90,11,48,8,226,11,D2
893,54,18,178,16,23,21,175,25,77,3,37,1,46,16,71,11,92,12,72,6,D3
894,45,26,164,26,26,22,104,8,50,19,265,4,37,24,73,2,40,7,14,27,D3
895,55,19,267,8,10,23,210,27,17,0,175,2,7,15,280,7,19,24,156,23,D1
896,96,14,228,9,49,25,261,14,47,29,1,27,48,7,231,9,4,2,1,25,D1
897,39,28,276,5,85,19,276,20,85,6,28,4,83,4,16,9,36,8,281,16,D3
898,46,19,233,16,87,11,162,-5,79,18,94,25,64,14,225,9,73,1,206,25,D2
899,16,22,251,20,97,10,181,14,47,17,78,15,68,28,249,24,24,7,257,9,D2
900,49,12,209,1,46,16,1,28,62,25,170,17,68,28,35,21,73,6,231,12,D5
901,63,22,196,1,18,15,152,28,1,11,85,19,30,4,295,0,72,22,60,23,D4
902,34,11,158,20,82,3,242,-5,39,2,231,5,66,24,0,22,64,11,171,3,D2
903,56,7,36,9,51,3,180,15,8,13,284,23,63,0,283,19,83,0,95,3,D5
904,60,24,273,23,65,17,231,3,79,24,92,18,34,24,215,12,95,8,285,8,D5
905,58,10,132,9,86,6,218,26,75,22,41,22,80,12,269,24,92,16,258,2,D5
906,6,9,188,2,11,10,153,22,35,13,9,13,63,19,251,15,26,25,171,5,D4
907,42,10,23,11,5,3,266,26,21,24,172,13,35,13,200,14,76,9,141,16,D5
908,41,4,87,23,24,28,121,11,30,22,281,0,16,3,35,13,83,8,121,8,D5
909,77,16,192,25,59,19,32,25,23,3,165,4,16,22,102,1,16,19,159,24,D3
910,71,14,269,28,12,3,41,10,88,29,94,6,8,11,19,18,96,4,248,15,D5
911,41,10,178,27,65,12,112,3,58,23,65,8,72,5,169,26,53,11,178,12,D2
912,91,1,119,2,41,8,281,18,48,27,253,21,62,9,207,14,12,19,272,-5,D1
913,21,3,32,5,17,12,48,22,20,18,160,0,97,17,129,20,63,11,212,14,D4
914,33,23,90,12,12,20,247,19,62,28,207,18,45,21,176,29,0,0,223,23,D3
915,42,25,189,8,41,21,195,8,76,28,227,24,7,22,118,8,55,21,40,3,D5
916,50,11,39,1,73,27,154,11,89,8,54,21,87,10,193,15,30,15,272,-5,D4
917,23,20,20,26,67,4,296,22,95,15,38,-5,89,3,252,26,34,4,226,26,D3
918,37,18,8,18,61,19,77,19,91,25,263,28,9,1,216,27,5,20,102,25,D3
919,53,28,286,11,7,18,179,25,33,17,56,21,67,23,95,12,3,12,24,7,D4
